#,region,reg,vote_2016,intention,vote_2020,gender,hisp,race,income,edu,state,age
1838,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,Black,<50K,0,MO,55
1839,Northeast,1,Donald Trump,Yes,Donald Trump,Male,1,Other,50K-100K,1,NY,45
1840,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,OH,25
1841,West,0,Was not eligible to vote,Not eligible,I am not sure/don't know,Male,0,White,<50K,1,CA,25
1842,Midwest,1,Donald Trump,Yes,Donald Trump,Male,0,White,<50K,0,MO,25
1843,Midwest,1,Hillary Clinton,Not sure,Donald Trump,Female,0,White,<50K,0,OH,55
1844,South,0,"Did not vote, but was eligible",Yes,Joe Biden,Male,0,Other,<50K,1,FL,25
1845,Northeast,1,Donald Trump,Yes,Joe Biden,Male,0,White,>100K,1,NY,35
1846,Midwest,1,Donald Trump,Yes,Donald Trump,Male,0,White,50K-100K,1,OH,45
1847,Northeast,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,MA,55
1848,South,1,"Did not vote, but was eligible",Yes,I would not vote,Male,0,Other,<50K,1,AL,25
1849,Midwest,1,Someone else:,Yes,I am not sure/don't know,Female,0,Black,50K-100K,1,MO,55
1850,South,1,Hillary Clinton,Yes,Joe Biden,Female,1,White,50K-100K,1,TX,45
1851,Midwest,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,IL,35
1852,South,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,50K-100K,1,MD,25
1853,South,1,Hillary Clinton,Yes,Joe Biden,Male,0,Black,<50K,1,FL,25
1854,South,0,Was not eligible to vote,Not eligible,I would not vote,Female,0,White,50K-100K,0,VA,55
1855,Midwest,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,0,OH,75
1856,Northeast,1,Donald Trump,Yes,Donald Trump,Female,1,White,50K-100K,1,NY,55
1857,Midwest,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,MI,35
1858,Northeast,0,Someone else:,Not eligible,I am not sure/don't know,Male,0,White,>100K,0,PA,55
1859,South,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,>100K,1,NC,65
1860,Northeast,1,Hillary Clinton,Yes,Joe Biden,Female,0,Black,50K-100K,1,NY,55
1861,South,1,"Did not vote, but was eligible",Yes,Joe Biden,Male,0,Black,<50K,0,GA,25
1862,Midwest,1,"Did not vote, but was eligible",No,I am not sure/don't know,Female,0,White,<50K,0,OH,45
1863,West,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,AZ,45
1864,South,1,Hillary Clinton,Yes,Joe Biden,Male,1,Black,50K-100K,1,GA,55
1865,Midwest,1,Donald Trump,Yes,Donald Trump,Male,0,White,<50K,1,OH,55
1866,Northeast,1,Donald Trump,Yes,Joe Biden,Male,0,Black,50K-100K,1,NY,18
1867,Midwest,1,Someone else:,Yes,Someone else,Male,0,White,<50K,1,OH,65
1868,Northeast,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,NY,35
1869,Northeast,1,Hillary Clinton,Yes,Joe Biden,Female,0,API,NA,1,NY,55
1870,South,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,>100K,1,AL,65
1871,South,1,Donald Trump,Yes,Donald Trump,Male,0,White,<50K,1,GA,45
1872,Midwest,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,50K-100K,1,WI,55
1873,West,0,Don't recall,Yes,Joe Biden,Male,0,White,NA,1,CA,35
1874,Northeast,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,<50K,1,NY,55
1875,Midwest,1,"Did not vote, but was eligible",Yes,Joe Biden,Male,1,White,50K-100K,1,IL,35
1876,South,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,>100K,1,FL,45
1877,South,1,Hillary Clinton,Yes,Joe Biden,Male,0,Black,50K-100K,0,FL,18
1878,Midwest,1,Donald Trump,Yes,Donald Trump,Male,0,White,<50K,1,MO,55
1879,Midwest,1,Donald Trump,Yes,Donald Trump,Male,0,White,50K-100K,0,OH,65
1880,Northeast,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,<50K,0,PA,25
1881,Midwest,0,"Did not vote, but was eligible",No,Donald Trump,Male,0,White,<50K,0,OH,55
1882,South,0,"Did not vote, but was eligible",Not sure,Joe Biden,Female,0,Black,<50K,1,TX,55
1883,West,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,<50K,0,AZ,55
1884,Northeast,1,Donald Trump,Yes,Donald Trump,Male,0,White,50K-100K,1,NJ,75
1885,South,1,Hillary Clinton,Yes,Joe Biden,Male,0,Black,>100K,1,FL,55
1886,Midwest,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,50K-100K,1,MI,45
